id,drug_name,adr,release_date,source,source_url,pdf_url,local_file
1,Tranexamic Acid,Back Pain,2026-Jul-21,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQ1NTk=,data\cdsco\adr\001_Tranexamic_Acid_Back_Pain.pdf
2,Aceclofenac,Fixed Drug Eruption (FDE),2026-Jul-21,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQ1MzE=,data\cdsco\adr\002_Aceclofenac_Fixed_Drug_Eruption_(FDE).pdf
3,Tranexamic Acid,Back Pain,2026-Jul-21,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQ1MzI=,data\cdsco\adr\003_Tranexamic_Acid_Back_Pain.pdf
4,Ibuprofen,Fixed Drug Eruption,2026-Jul-21,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQ1MzA=,data\cdsco\adr\004_Ibuprofen_Fixed_Drug_Eruption.pdf
5,Vancomycin,Dress Syndrome,2026-Jul-06,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQ0NDI=,data\cdsco\adr\005_Vancomycin_Dress_Syndrome.pdf
6,Oral Itraconazole,Symmetrical Drug Related-Intertriginous and Flexural Exanthema,2026-Jul-06,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQ0NDU=,data\cdsco\adr\006_Oral_Itraconazole_Symmetrical_Drug_Related-Intertriginous_and_Flexural_Exanthema.pdf
7,Metronidazole,Fixed Drug Eruption (FDE),2026-Jul-06,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQ0NDY=,data\cdsco\adr\007_Metronidazole_Fixed_Drug_Eruption_(FDE).pdf
8,Piperacillin + Tazobactam,Blurred Vision,2026-Jul-06,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQ1Nzk=,data\cdsco\adr\008_Piperacillin_+_Tazobactam_Blurred_Vision.pdf
9,Tetracycline,Fixed Drug Eruption (FDE),2026-Jul-06,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQ0NDM=,data\cdsco\adr\009_Tetracycline_Fixed_Drug_Eruption_(FDE).pdf
10,Cotrimoxazole,Fixed Drug Eruption (FDE),2026-Jul-06,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Notifications/Adverse-Drug-Reaction-related-Notifications/,https://cdsco.gov.in/opencms/opencms/system/modules/CDSCO.WEB/elements/download_file_division.jsp?num_id=MTQ0NDc=,data\cdsco\adr\010_Cotrimoxazole_Fixed_Drug_Eruption_(FDE).pdf
