id,serial_number,title,release_date,pdf_size,source,source_url,pdf_url,local_file
1,1,Circular to all State/UT Licensing Authorities regarding recent revised GST rate Structure,2025-Oct-08,1450 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Latest-Alerts/,,data\cdsco\alerts\001_Circular to all State_UT Licensing Authorities regarding recent revised GST rate Structure.pdf
2,2,Availability of Not Standard Quality (NSQ) Alert on New Link in CDSCO Website,2025-Aug-28,2245 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Latest-Alerts/,,data\cdsco\alerts\002_Availability of Not Standard Quality (NSQ) Alert on New Link in CDSCO Website.pdf
3,3,corrigendum of (M/s. Spectra Medical Pvt Ltd) dated 21.08.2025,2025-Aug-21,655 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Latest-Alerts/,,data\cdsco\alerts\003_corrigendum of (M_s. Spectra Medical Pvt Ltd) dated 21.08.2025.pdf
4,4,Alert on theft of multiple drug products of M/s. Novo Nordisk during transit,2025-Aug-21,1149 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Latest-Alerts/,,data\cdsco\alerts\004_Alert on theft of multiple drug products of M_s. Novo Nordisk during transit.pdf
5,5,STATE NSQ ALERT FOR THE MONTH OF June 2025,2025-Jul-18,415 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Latest-Alerts/,,data\cdsco\alerts\005_STATE NSQ ALERT FOR THE MONTH OF June 2025.pdf
6,6,CDSCO NSQ ALERT FOR THE MONTH OF June 2025,2025-Jul-18,185 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Latest-Alerts/,,data\cdsco\alerts\006_CDSCO NSQ ALERT FOR THE MONTH OF June 2025.pdf
7,7,List of spurious Drugs  for the month of June-2025,2025-Jul-18,127 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Latest-Alerts/,,data\cdsco\alerts\007_List of spurious Drugs for the month of June-2025.pdf
8,8,Revise list drug alert May-2025,2025-Jul-18,167 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Latest-Alerts/,,data\cdsco\alerts\008_Revise list drug alert May-2025.pdf
9,9,"List of Drugs, Medical Devices, Vaccine and Cosmetics declared as Spurious for the Month of May-2025",2025-Jun-20,200 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Latest-Alerts/,,"data\cdsco\alerts\009_List of Drugs, Medical Devices, Vaccine and Cosmetics declared as Spurious for the Month of May-2025.pdf"
10,10,NSQ ALERT FOR THE MONTH OF MAY-2025,2025-Jun-20,197 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Latest-Alerts/,,data\cdsco\alerts\010_NSQ ALERT FOR THE MONTH OF MAY-2025.pdf
