id,serial_number,title,release_date,pdf_size,source,source_url,pdf_url,local_file
1,1,FIXED DOSE COMBINATIONS APPROVED BY DCG (I) SINCE 1961 to 31st December 2019,2025-Sep-24,1530 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/Permission Since 1961 to December 201924sep25.pdf,data\cdsco\fdc_new_drugs\001_FIXED DOSE COMBINATIONS APPROVED BY DCG (I) SINCE 1961 to 31st December 2019.pdf
2,2,FIXED DOSE COMBINATIONS APPROVED BY DCG (I) Nov 2024  to Mar 2025,2025-Apr-07,191 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/Website Updation_Permission Nov 2024 to Mar 2025.pdf,data\cdsco\fdc_new_drugs\002_FIXED DOSE COMBINATIONS APPROVED BY DCG (I) Nov 2024 to Mar 2025.pdf
3,3,NEW DRUGS APPROVAL LIST FROM SND DIVISION FROM 01/01/2024 TO 31/12/2024,2025-Jan-13,334 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/List of new drugs approved by SND division in 2024dic.pdf,data\cdsco\fdc_new_drugs\003_NEW DRUGS APPROVAL LIST FROM SND DIVISION FROM 01_01_2024 TO 31_12_2024.pdf
4,4,FIXED DOSE COMBINATIONS APPROVED BY DCG(I) From 01 January 2024 to 21 October 2024,2024-Dec-02,466 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/FIXED DOSE COMBINATIONS APPROVED BY DCG(I) From January 2024 to Oct2024.pdf,data\cdsco\fdc_new_drugs\004_FIXED DOSE COMBINATIONS APPROVED BY DCG(I) From 01 January 2024 to 21 October 2024.pdf
5,5,NEW DRUGS APPROVAL LIST FROM SND DIVISION FROM 01/0//2023 TO 31/12/2023,2024-May-03,408 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/SND approval list 2023.pdf,data\cdsco\fdc_new_drugs\005_NEW DRUGS APPROVAL LIST FROM SND DIVISION FROM 01_0__2023 TO 31_12_2023.pdf
6,6,FIXED DOSE COMBINATIONS APPROVED BY DCG(I) From January 2023 to December 2023,2024-Mar-28,468 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/FIXED DOSE COMBINATIONS APPROVED BY DCG(I) From January 2023 to December 2023 .pdf,data\cdsco\fdc_new_drugs\006_FIXED DOSE COMBINATIONS APPROVED BY DCG(I) From January 2023 to December 2023.pdf
7,7,FIXED DOSE COMBINATIONS APPROVED BY DCG (I) From 01 January 2022 to December 2022,2023-Jul-27,345 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/FIXED DOSE COMBINATIONS APPROVED BY DCG (I) for year 2022.pdf,data\cdsco\fdc_new_drugs\007_FIXED DOSE COMBINATIONS APPROVED BY DCG (I) From 01 January 2022 to December 2022.pdf
8,8,List of drugs approved from SND Division from 01.01.2022 to 31-12-2022,2023-Jan-27,532 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/snd2022.pdf,data\cdsco\fdc_new_drugs\008_List of drugs approved from SND Division from 01.01.2022 to 31-12-2022.pdf
9,9,List of drugs approved from SND Division as on 1999,2023-Jan-01,62 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/Updating website as on 12.pdf,data\cdsco\fdc_new_drugs\009_List of drugs approved from SND Division as on 1999.pdf
10,10,Procedure to be followed for subsequent applicant in respect of FDCs declared as rational by Prof. Kokate Committee and approved by DCG(I),2022-Nov-18,6546 KB,CDSCO,https://cdsco.gov.in/opencms/opencms/en/Approval_new/FDC-New-Drugs-Marketing/,https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadApprovalMarketingFDC/18.11.2022 1687 FDCs.pdf,data\cdsco\fdc_new_drugs\010_Procedure to be followed for subsequent applicant in respect of FDCs declared as rational by Prof. Kokate Committee and approved by DCG(I).pdf
